Day,Appeal,Device,LS/RT/AT,Media,Structure/Menu,Recency/Segment,Impressions,Clicks,CV,Media Cost Margin,Google_AdRank,Yahoo!_AdRank
2018/2/6,01_指名,PC,Listing,Google,,,84,3,1,\160,1.02,
2018/2/6,01_指名,PC,Listing,Yahoo!,-,-,"1,826",73,,"\4,842",,1.07
2018/2/6,04_海外での利用,PC,RT,YDN,S2.コンテンツ離脱,16日～30日,"10,213",1,,\167,,
2018/2/6,01_指名,PC,Listing,Google,-,-,"1,886",109,2,"\15,136",1.01,
2018/2/6,01_指名,SP,Listing,Yahoo!,-,-,617,11,,\840,,1.1
2018/2/6,01_指名,SP,Listing,Google,-,-,"1,349",155,2,"\8,986",1.04,
2018/2/6,04_海外での利用,SP,RT,YDN,S2.コンテンツ離脱,16日～30日,"2,058",3,,\292,,
2018/2/6,01_指名,SP,Listing,Google,,,101,5,,\416,1,
2018/2/6,04_海外での利用,PC,Listing,Google,-,-,462,5,,"\1,360",3.19,
2018/2/6,04_海外での利用,SP,RT,YDN,S3.口座開設詳細離脱,1日～3日,143,0,,\0,,
2018/2/6,04_海外での利用,PC,RT,GDN,S3.口座開設詳細離脱,-,"6,744",9,,\914,,
2018/2/6,04_海外での利用,PC,RT,YDN,S3.口座開設詳細離脱,1日～3日,276,0,,\0,,
2018/2/6,04_海外での利用,SP,RT,GDN,S3.口座開設詳細離脱,-,"8,509",16,,"\1,444",,
2018/2/6,06_外貨預金,PC,RT,YDN,S3.口座開設詳細離脱,31日～90日,998,0,,\0,,
2018/2/6,03_口座開設一般,SP,RT,YDN,S3.口座開設詳細離脱,31日～90日,273,0,,\0,,
2018/2/6,06_外貨預金,SP,RT,YDN,S3.口座開設詳細離脱,31日～90日,246,0,,\0,,
2018/2/6,03_口座開設一般,PC,RT,YDN,S3.口座開設詳細離脱,31日～90日,119,0,,\0,,
2018/2/6,04_海外での利用,SP,Listing,Google,-,-,394,11,,"\2,536",2.76,
2018/2/5,01_指名,PC,Listing,Yahoo!,-,-,"1,705",70,,"\4,756",,1.06
2018/2/5,04_海外での利用,PC,RT,YDN,S2.コンテンツ離脱,4日～7日,"7,105",1,,\228,,
2018/2/5,03_口座開設一般,PC,RT,Y!JAX,S3.口座開設詳細離脱,1日～7日,869,1,,\833,,
2018/2/5,01_指名,SP,Listing,Yahoo!,-,-,604,7,,"\1,128",,1.14
2018/2/5,06_外貨預金,SP,RT,GDN,S3.口座開設詳細離脱,-,"1,320",2,,\146,,
2018/2/5,06_外貨預金,PC,RT,GDN,S3.口座開設詳細離脱,-,265,0,,\0,,
2018/2/5,06_外貨預金,PC,RT,YDN,S2.コンテンツ離脱,8日～15日,"1,067",0,,\0,,
2018/2/5,03_口座開設一般,PC,RT,GDN,S5.申込フォーム離脱_STEP3,-,57,0,,\0,,
2018/2/5,04_海外での利用,PC,RT,Y!JAX,S4.申込フォーム離脱,1日～7日,345,0,,\379,,
2018/2/5,03_口座開設一般,SP,RT,GDN,S5.申込フォーム離脱_STEP3,-,7,0,,\0,,
2018/2/5,03_口座開設一般,SP,RT,YDN,S3.口座開設詳細離脱,4日～7日,24,0,,\0,,
2018/2/5,04_海外での利用,SP,RT,YDN,S2.コンテンツ離脱,4日～7日,"1,369",1,,\12,,
2018/2/5,03_口座開設一般,PC,RT,YDN,S2.コンテンツ離脱,1日～3日,226,0,,\0,,
2018/2/5,04_海外での利用,PC,RT,Y!JAX,S1.TOPページ離脱,8日～15日,708,1,,\625,,
2018/2/5,03_口座開設一般,SP,RT,YDN,S2.コンテンツ離脱,1日～3日,"4,786",3,,\367,,
2018/2/5,04_海外での利用,PC,RT,YDN,S3.口座開設詳細離脱,16日～30日,"1,827",0,,\0,,
2018/2/5,04_海外での利用,SP,RT,YDN,S3.口座開設詳細離脱,16日～30日,250,1,,\10,,
2018/2/5,04_海外での利用,SP,AT,GDN,-,-,"7,617",4,,\211,,
2018/2/5,04_海外での利用,PC,RT,Y!JAX,S1.TOPページ離脱,16日～30日,360,0,,\314,,
2018/2/5,04_海外での利用,PC,AT,GDN,-,-,"11,968",11,,\977,,
2018/2/5,03_口座開設一般,PC,Listing,Yahoo!,,,75,0,,\0,,2.93
