Day,Appeal,Device,LS/RT/AT,Media,Structure/Menu,Recency/Segment,Impressions,Clicks,CV,Media Cost Margin,Google_position,Yahoo!_Position
11-Dec-17,06_外貨預金,PC,RT,Y!JAX,S4.申込フォーム離脱,8日～15日,121,0,,122,NaN,NaN
11-Dec-17,03_口座開設一般,SP,Listing,Yahoo!,,,123,1,,331,NaN,1.64
11-Dec-17,01_指名,SP,Listing,Y!PSD,-,-,271,2,,8064,NaN,NaN
11-Dec-17,03_口座開設一般,SP,RT,YDN,S3.口座開設詳細離脱,1日～3日,41,0,,0,NaN,NaN
11-Dec-17,00_手数料無料,PC,RT,YDN,S3.口座開設詳細離脱,4日～7日,47,0,,0,NaN,NaN
11-Dec-17,01_指名,PC,Listing,Y!PSD,-,-,683,14,,8064,NaN,NaN
11-Dec-17,04_海外での利用,PC,RT,YDN,S4.申込フォーム離脱,1日～3日,65,0,,0,NaN,NaN
11-Dec-17,04_海外での利用,PC,RT,YDN,S3.口座開設詳細離脱,16日～30日,978,0,,0,NaN,NaN
11-Dec-17,00_手数料無料,SP,RT,YDN,S3.口座開設詳細離脱,4日～7日,612,0,,0,NaN,NaN
11-Dec-17,03_口座開設一般,PC,RT,YDN,S3.口座開設詳細離脱,16日～30日,249,1,,118,NaN,NaN
11-Dec-17,04_海外での利用,SP,RT,YDN,S4.申込フォーム離脱,1日～3日,77,0,,0,NaN,NaN
11-Dec-17,,SP,Listing,Google,,,,,,,NaN,NaN
11-Dec-17,,PC,Listing,Google,,,,,,,NaN,NaN
11-Dec-17,03_口座開設一般,PC,RT,YDN,S3.口座開設詳細離脱,1日～3日,40,0,,0,NaN,NaN
11-Dec-17,00_手数料無料,PC,RT,Y!JAX,S2.コンテンツ離脱,16日～30日,135,0,,104,NaN,NaN
11-Dec-17,,PC,,YDN,,,6198,1,,78,NaN,NaN
11-Dec-17,00_手数料無料,PC,RT,YDN,S1.TOPページ離脱,31日～90日,428,0,,0,NaN,NaN
11-Dec-17,00_手数料無料,PC,RT,Y!JAX,S2.コンテンツ離脱,1日～7日,696,0,,614,NaN,NaN
11-Dec-17,06_外貨預金,PC,RT,Y!JAX,S2.コンテンツ離脱,8日～15日,418,2,,381,NaN,NaN
11-Dec-17,06_外貨預金,PC,RT,Y!JAX,S1.TOPページ離脱,16日～30日,598,3,,450,NaN,NaN
11-Dec-17,03_口座開設一般,SP,RT,YDN,S4.申込フォーム離脱,8日～15日,18,0,,0,NaN,NaN
11-Dec-17,03_口座開設一般,PC,RT,YDN,S4.申込フォーム離脱,31日～90日,157,0,,0,NaN,NaN
11-Dec-17,04_海外での利用,SP,RT,YDN,S3.口座開設詳細離脱,16日～30日,877,1,,110,NaN,NaN
11-Dec-17,00_手数料無料,SP,RT,YDN,S1.TOPページ離脱,31日～90日,243,2,,700,NaN,NaN
11-Dec-17,03_口座開設一般,SP,RT,YDN,S4.申込フォーム離脱,31日～90日,68,0,,0,NaN,NaN
11-Dec-17,03_口座開設一般,PC,RT,YDN,S4.申込フォーム離脱,8日～15日,50,0,,0,NaN,NaN
11-Dec-17,03_口座開設一般,PC,RT,Y!JAX,S3.口座開設詳細離脱,16日～30日,239,0,,65,NaN,NaN
11-Dec-17,04_海外での利用,PC,AT,GDN,-,-,26434,21,,2105,NaN,NaN
11-Dec-17,06_外貨預金,PC,RT,YDN,S4.申込フォーム離脱,8日～15日,117,0,,0,NaN,NaN
11-Dec-17,06_外貨預金,SP,RT,YDN,S4.申込フォーム離脱,4日～7日,63,0,,0,NaN,NaN
11-Dec-17,00_手数料無料,SP,RT,YDN,S1.TOPページ離脱,4日～7日,25,0,,0,NaN,NaN
