Day,Appeal,Device,LS/RT/AT,Media,Structure/Menu,Recency/Segment,Impressions,Clicks,CV,Media Cost Margin,Google_AdRank,Yahoo!_AdRank
2018/2/6,06_外貨預金,SP,RT,YDN,S3.口座開設詳細離脱,31日～90日,246 ,0 ,,0 ,,
2018/2/6,03_口座開設一般,PC,RT,YDN,S3.口座開設詳細離脱,31日～90日,119 ,0 ,,0 ,,
2018/2/6,04_海外での利用,SP,Listing,Google,-,-,394 ,11 ,,2536 ,3 ,
2018/2/5,01_指名,PC,Listing,Yahoo!,-,-,1705 ,70 ,,4756 ,,1 
2018/2/5,04_海外での利用,PC,RT,YDN,S2.コンテンツ離脱,4日～7日,7105 ,1 ,,228 ,,
2018/2/5,03_口座開設一般,PC,RT,Y!JAX,S3.口座開設詳細離脱,1日～7日,869 ,1 ,,833 ,,
2018/2/5,01_指名,SP,Listing,Yahoo!,-,-,604 ,7 ,,1128 ,,1 
2018/2/5,06_外貨預金,SP,RT,GDN,S3.口座開設詳細離脱,-,1320 ,2 ,,146 ,,
2018/2/5,06_外貨預金,PC,RT,GDN,S3.口座開設詳細離脱,-,265 ,0 ,,0 ,,
2018/2/5,06_外貨預金,PC,RT,YDN,S2.コンテンツ離脱,8日～15日,1067 ,0 ,,0 ,,
2018/2/5,03_口座開設一般,PC,RT,GDN,S5.申込フォーム離脱_STEP3,-,57 ,0 ,,0 ,,
2018/2/5,04_海外での利用,PC,RT,Y!JAX,S4.申込フォーム離脱,1日～7日,345 ,0 ,,379 ,,
2018/2/5,03_口座開設一般,SP,RT,GDN,S5.申込フォーム離脱_STEP3,-,7 ,0 ,,0 ,,
2018/2/5,03_口座開設一般,SP,RT,YDN,S3.口座開設詳細離脱,4日～7日,24 ,0 ,,0 ,,
2018/2/5,04_海外での利用,SP,RT,YDN,S2.コンテンツ離脱,4日～7日,1369 ,1 ,,12 ,,
2018/2/5,03_口座開設一般,PC,RT,YDN,S2.コンテンツ離脱,1日～3日,226 ,0 ,,0 ,,
2018/2/5,04_海外での利用,PC,RT,Y!JAX,S1.TOPページ離脱,8日～15日,708 ,1 ,,625 ,,
2018/2/5,03_口座開設一般,SP,RT,YDN,S2.コンテンツ離脱,1日～3日,4786 ,3 ,,367 ,,
2018/2/5,04_海外での利用,PC,RT,YDN,S3.口座開設詳細離脱,16日～30日,1827 ,0 ,,0 ,,
2018/2/5,04_海外での利用,SP,RT,YDN,S3.口座開設詳細離脱,16日～30日,250 ,1 ,,10 ,,
2018/2/5,04_海外での利用,SP,AT,GDN,-,-,7617 ,4 ,,211 ,,
2018/2/5,04_海外での利用,PC,RT,Y!JAX,S1.TOPページ離脱,16日～30日,360 ,0 ,,314 ,,
2018/2/5,04_海外での利用,PC,AT,GDN,-,-,11968 ,11 ,,977 ,,
2018/2/5,03_口座開設一般,PC,Listing,Yahoo!,,,75 ,0 ,,0 ,,3 
2018/2/5,03_口座開設一般,SP,RT,YDN,S3.口座開設詳細離脱,1日～3日,107 ,0 ,,0 ,,
2018/2/5,03_口座開設一般,SP,RT,YDN,S2.コンテンツ離脱,1日,3453 ,3 ,,414 ,,
2018/2/5,03_口座開設一般,PC,Listing,Yahoo!,-,-,6114 ,44 ,,15594 ,,3 
2018/2/5,03_口座開設一般,SP,RT,YDN,S2.コンテンツ離脱,2日～3日,1 ,0 ,,0 ,,
2018/2/5,03_口座開設一般,SP,Listing,Yahoo!,-,-,5723 ,21 ,,5748 ,,2 
2018/2/5,03_口座開設一般,SP,Listing,Yahoo!,,,133 ,0 ,,0 ,,2 
2018/2/5,04_海外での利用,SP,RT,GDN,S4.申込フォーム離脱_STEP2,-,5800 ,4 ,,659 ,,
2018/2/5,06_外貨預金,SP,RT,YDN,S2.コンテンツ離脱,16日～30日,396 ,2 ,,148 ,,
2018/2/5,06_外貨預金,PC,RT,YDN,S2.コンテンツ離脱,16日～30日,1315 ,0 ,,0 ,,
2018/2/5,04_海外での利用,PC,RT,GDN,S4.申込フォーム離脱_STEP2,-,7509 ,7 ,,2030 ,,
2018/2/5,03_口座開設一般,PC,RT,YDN,S3.口座開設詳細離脱,1日～3日,20 ,0 ,,0 ,,
2018/2/5,03_口座開設一般,PC,RT,Y!JAX,S1.TOPページ離脱,1日～7日,511 ,0 ,,478 ,,
2018/2/5,04_海外での利用,PC,RT,Y!JAX,S3.口座開設詳細離脱,1日～7日,2021 ,10 ,,2003 ,,
2018/2/5,04_海外での利用,PC,RT,YDN,S2.コンテンツ離脱,16日～30日,10206 ,1 ,,102 ,,
2018/2/5,01_指名,PC,Listing,Google,,,68 ,3 ,,226 ,1 ,
2018/2/5,01_指名,PC,Listing,Google,-,-,1824 ,108 ,1 ,17662 ,1 ,
2018/2/5,04_海外での利用,PC,RT,Y!JAX,S3.口座開設詳細離脱,16日～30日,811 ,0 ,,785 ,,
2018/2/5,01_指名,SP,Listing,Google,,,85 ,6 ,,964 ,1 ,
2018/2/5,04_海外での利用,SP,RT,YDN,S2.コンテンツ離脱,16日～30日,2650 ,1 ,,112 ,,
2018/2/5,01_指名,SP,Listing,Google,-,-,1304 ,151 ,3 ,11502 ,1 ,
2018/2/5,04_海外での利用,SP,RT,YDN,S2.コンテンツ離脱,8日～15日,1917 ,1 ,,157 ,,
2018/2/5,04_海外での利用,PC,RT,YDN,S2.コンテンツ離脱,8日～15日,6272 ,2 ,,305 ,,
2018/2/5,04_海外での利用,PC,RT,GDN,S5.申込フォーム離脱_STEP3,-,122 ,0 ,,0 ,,
2018/2/5,04_海外での利用,SP,RT,YDN,S3.口座開設詳細離脱,1日～3日,263 ,1 ,,17 ,,
2018/2/5,04_海外での利用,SP,RT,GDN,S3.口座開設詳細離脱,-,7780 ,10 ,,1034 ,,
2018/2/5,04_海外での利用,PC,RT,GDN,S3.口座開設詳細離脱,-,7246 ,8 ,,869 ,,
2018/2/5,04_海外での利用,PC,RT,Y!JAX,S3.口座開設詳細離脱,8日～15日,1191 ,3 ,,1231 ,,
2018/2/5,06_外貨預金,SP,RT,YDN,S3.口座開設詳細離脱,16日～30日,82 ,0 ,,0 ,,
2018/2/5,06_外貨預金,PC,RT,YDN,S3.口座開設詳細離脱,16日～30日,961 ,0 ,,0 ,,
2018/2/5,04_海外での利用,PC,RT,YDN,S3.口座開設詳細離脱,1日～3日,273 ,0 ,,0 ,,
2018/2/5,03_口座開設一般,PC,RT,YDN,S3.口座開設詳細離脱,16日～30日,58 ,0 ,,0 ,,
2018/2/5,04_海外での利用,PC,RT,Y!JAX,S2.コンテンツ離脱,16日～30日,847 ,3 ,,777 ,,
2018/2/5,04_海外での利用,SP,RT,YDN,S3.口座開設詳細離脱,8日～15日,429 ,1 ,,6 ,,
2018/2/5,03_口座開設一般,SP,RT,YDN,S3.口座開設詳細離脱,16日～30日,159 ,0 ,,0 ,,
2018/2/5,04_海外での利用,PC,RT,Y!JAX,S2.コンテンツ離脱,1日～7日,2630 ,11 ,,2577 ,,
2018/2/5,04_海外での利用,PC,RT,YDN,S3.口座開設詳細離脱,4日～7日,1592 ,0 ,,0 ,,
2018/2/5,02_指名関連,PC,Listing,Google,-,-,987 ,43 ,,16978 ,2 ,
2018/2/5,02_指名関連,PC,Listing,Google,,,2686 ,71 ,,15871 ,2 ,
2018/2/5,02_指名関連,PC,Listing,Yahoo!,-,-,2986 ,82 ,,5891 ,,2 
2018/2/5,02_指名関連,PC,Listing,Yahoo!,,,229 ,1 ,,41 ,,3 
2018/2/5,03_口座開設一般,SP,RT,YDN,S3.口座開設詳細離脱,31日～90日,548 ,1 ,,17 ,,
2018/2/5,02_指名関連,SP,Listing,Google,,,9342 ,219 ,7 ,75235 ,2 ,
2018/2/5,06_外貨預金,PC,RT,YDN,S3.口座開設詳細離脱,31日～90日,1278 ,0 ,,0 ,,
2018/2/5,04_海外での利用,PC,RT,YDN,S3.口座開設詳細離脱,8日～15日,532 ,0 ,,0 ,,
2018/2/5,03_口座開設一般,PC,RT,YDN,S3.口座開設詳細離脱,31日～90日,90 ,0 ,,0 ,,
