Appeal,Device,LS/RT/AT,Media,Structure/Menu,Recency/Segment,Day,Impressions,Clicks,CV,Media Cost Margin
00_手数料無料,SP,RT,YDN,S1.TOPページ離脱,16日～30日,2017/12/10,93,0,,0
04_海外での利用,PC,RT,YDN,S4.申込フォーム離脱,16日～30日,2017/12/10,341,0,,0
00_手数料無料,PC,RT,YDN,S1.TOPページ離脱,16日～30日,2017/12/10,168,0,,0
06_外貨預金,PC,RT,Y!JAX,S2.コンテンツ離脱,1日～7日,2017/12/10,1359,7,,1723
06_外貨預金,SP,RT,YDN,S3.口座開設詳細離脱,31日～90日,2017/12/10,809,0,,0
06_外貨預金,PC,RT,YDN,S3.口座開設詳細離脱,4日～7日,2017/12/10,322,0,,0
00_手数料無料,SP,RT,YDN,S2.コンテンツ離脱,16日～30日,2017/12/10,277,1,,104
00_手数料無料,PC,RT,Y!JAX,S2.コンテンツ離脱,8日～15日,2017/12/10,306,0,,397
06_外貨預金,PC,RT,YDN,S3.口座開設詳細離脱,8日～15日,2017/12/10,475,0,,0
00_手数料無料,SP,RT,YDN,S3.口座開設詳細離脱,1日～3日,2017/12/10,387,0,,0
00_手数料無料,PC,RT,Y!JAX,S4.申込フォーム離脱,8日～15日,2017/12/10,3,0,,3
00_手数料無料,PC,RT,YDN,S2.コンテンツ離脱,16日～30日,2017/12/10,438,0,,0
06_外貨預金,PC,RT,YDN,S3.口座開設詳細離脱,31日～90日,2017/12/10,1263,0,,0
00_手数料無料,PC,RT,YDN,S3.口座開設詳細離脱,1日～3日,2017/12/10,14,0,,0
00_手数料無料,SP,RT,YDN,S1.TOPページ離脱,1日～3日,2017/12/10,39,0,,0
06_外貨預金,PC,RT,Y!JAX,S4.申込フォーム離脱,1日～7日,2017/12/10,64,3,,103
00_手数料無料,PC,RT,YDN,S1.TOPページ離脱,1日～3日,2017/12/10,35,0,,0
06_外貨預金,PC,RT,Y!JAX,S4.申込フォーム離脱,16日～30日,2017/12/10,42,0,,59
04_海外での利用,PC,RT,YDN,S3.口座開設詳細離脱,4日～7日,2017/12/10,486,1,,185
02_指名関連,PC,Listing,Yahoo!,-,-,2017/12/10,14058,42,,10877
02_指名関連,PC,Listing,Yahoo!,,,2017/12/10,1077,8,,2579
00_手数料無料,SP,RT,YDN,S4.申込フォーム離脱,4日～7日,2017/12/10,164,1,,598
02_指名関連,PC,Listing,Google,-,-,2017/12/10,3467,82,1,29318
00_手数料無料,PC,RT,YDN,S4.申込フォーム離脱,4日～7日,2017/12/10,7,0,,0
00_手数料無料,PC,RT,Y!JAX,S3.口座開設詳細離脱,16日～30日,2017/12/10,166,1,,201
03_口座開設一般,SP,RT,YDN,S4.申込フォーム離脱,1日～3日,2017/12/10,15,0,,0
02_指名関連,PC,Listing,Google,,,2017/12/10,1108,17,,12587
03_口座開設一般,PC,RT,YDN,S4.申込フォーム離脱,1日～3日,2017/12/10,58,0,,0
02_指名関連,SP,Listing,Google,-,-,2017/12/10,18321,299,3,151878
02_指名関連,SP,Listing,Google,,,2017/12/10,315,7,,2030
00_手数料無料,PC,RT,YDN,S4.申込フォーム離脱,31日～90日,2017/12/10,80,0,,0
06_外貨預金,PC,RT,Y!JAX,S3.口座開設詳細離脱,8日～15日,2017/12/10,300,2,,429
04_海外での利用,SP,RT,YDN,S3.口座開設詳細離脱,8日～15日,2017/12/10,555,1,,114
03_口座開設一般,SP,RT,GDN,S4.申込フォーム離脱,-,2017/12/10,4030,4,,874
06_外貨預金,PC,RT,Y!JAX,S1.TOPページ離脱,8日～15日,2017/12/10,339,2,,437
03_口座開設一般,PC,RT,GDN,S4.申込フォーム離脱,-,2017/12/10,2304,6,,3176
00_手数料無料,PC,RT,Y!JAX,S1.TOPページ離脱,16日～30日,2017/12/10,105,0,,124
02_指名関連,SP,Listing,Yahoo!,-,-,2017/12/10,15360,26,,9121
02_指名関連,SP,Listing,Yahoo!,,,2017/12/10,1837,3,,1901
04_海外での利用,SP,RT,YDN,S3.口座開設詳細離脱,4日～7日,2017/12/10,222,0,,0
06_外貨預金,PC,RT,YDN,S4.申込フォーム離脱,1日～3日,2017/12/10,81,0,,0
06_外貨預金,PC,RT,GDN,S4.申込フォーム離脱,-,2017/12/10,209,0,,0
00_手数料無料,SP,RT,YDN,S4.申込フォーム離脱,8日～15日,2017/12/10,302,0,,0
00_手数料無料,PC,RT,YDN,S2.コンテンツ離脱,1日～3日,2017/12/10,332,0,,0
06_外貨預金,SP,RT,GDN,S4.申込フォーム離脱,-,2017/12/10,712,0,,0
04_海外での利用,SP,AT,GDN,-,-,2017/12/10,1265,3,,166
00_手数料無料,SP,RT,YDN,S4.申込フォーム離脱,31日～90日,2017/12/10,870,0,,0
04_海外での利用,SP,RT,YDN,S3.口座開設詳細離脱,1日～3日,2017/12/10,251,1,,95
04_海外での利用,SP,RT,YDN,S3.口座開設詳細離脱,31日～90日,2017/12/10,1790,4,,284
00_手数料無料,SP,RT,YDN,S3.口座開設詳細離脱,4日～7日,2017/12/10,438,1,,77
04_海外での利用,PC,RT,YDN,S3.口座開設詳細離脱,8日～15日,2017/12/10,650,0,,0
03_口座開設一般,SP,Listing,Google,-,-,2017/12/10,8326,352,1,109205
00_手数料無料,SP,RT,GDN,S3.口座開設詳細離脱,-,2017/12/10,1745,1,,103
03_口座開設一般,SP,Listing,Google,,,2017/12/10,376,11,,3050
00_手数料無料,PC,RT,YDN,S4.申込フォーム離脱,8日～15日,2017/12/10,32,0,,0
